Reviews,Date
"The app is awesome, I could learn a lot and choose what language as well as teachers who I want to study with, the interface is awesome, easy to understand and has a lot of fitures. I don't know if the others is having the troubles, but in my realme 7 device, the app has drain a lot of battery consumsion in the background, even if I don't open it at all. I hope and I know that Cakap Team would help solve problem and perfecting the app. Thanks","January 10, 2022"
"This app works on me. But in my opinion, it still needs to be improved, especially when I change the screen to horizontal, the video cannot display the duration of the video being played. So if I want to loop or jump to my desired sequence, it's a little annoying. Because I can only press 10 seconds ahead before or after. Hopefully you can fix it, but this app is great because there is no buffering while watching videos 😀😊","August 8, 2020"
"Just downloaded, update profile then reatarted, then stuck on boot the apps and stopped in C sign only. I've waited for about 30 minutes and didn't change. I did it over and over and still didn't change. It literally stops in C pict. I've check my internet connection as well and no problem with the internet. I think you must work on it. I use phone with ram/rom 4/128 still 38% of the storage empty. Firmware the newest android 10.1 Thanks","April 3, 2020"
"The app is awesome, I could learn a lot and choose what language as well as teachers who I want to study with, the interface is awesome, easy to understand and has a lot of fitures. I don't know if the others is having the troubles, but in my realme 7 device, the app has drain a lot of battery consumsion in the background, even if I don't open it at all. I hope and I know that Cakap Team would help solve problem and perfecting the app. Thanks","January 10, 2022"
"This app works on me. But in my opinion, it still needs to be improved, especially when I change the screen to horizontal, the video cannot display the duration of the video being played. So if I want to loop or jump to my desired sequence, it's a little annoying. Because I can only press 10 seconds ahead before or after. Hopefully you can fix it, but this app is great because there is no buffering while watching videos 😀😊","August 8, 2020"
"Just downloaded, update profile then reatarted, then stuck on boot the apps and stopped in C sign only. I've waited for about 30 minutes and didn't change. I did it over and over and still didn't change. It literally stops in C pict. I've check my internet connection as well and no problem with the internet. I think you must work on it. I use phone with ram/rom 4/128 still 38% of the storage empty. Firmware the newest android 10.1 Thanks","April 3, 2020"
"I really enjoyed use this application. This application is very easy to use and operating, the programs are variable too, most of the teachers are good and the way they convey the materials are clear enough to understand. Even the webinar session was difficult to access but it's okay because finally i can access the session. I had so much fun to join and gained more experience with Prakerja and Cakap. Thanks a lot Cakap and Prakerja 💖","September 15, 2020"
"this is an excellent platform to improve my english skill. I loved the way how the tutor teaches during the class, clear voice, clear visual also the material is clear and to the point. This platform is really helpful for me to improve my english and help me to get the job that I want. I hope Cakap can be more than this because this app is amazing! thank you!","March 18, 2021"
"I am a driver online and this program really helps me to improve my English skill. I do love how the way CAKAP's tutor explain the materials during the class. It's fun when I joined the class cz of the tutor has a good preparation, great visual, and clear voice even sometimes got a mispronouncing, but that's OK. I hope Cakap can be more than this inasmuch as this app is very useful! TYSM!!! 🙏🏻🙏🏻","March 27, 2021"
"Seamless online learning experience. I like Cakap English Club Premium so much as it allows me to practice English in a fun way, with topics that are modern and cool. The teachers are communicative and always able to answer my questions. They're very nice, too. There are foreign and Indonesian teachers. All are nice to me! The customer service agents are fast to respond to my questions. Couldn't ask for a better app. Good job Cakap! 10 out of 10 ⭐⭐⭐⭐⭐","October 22, 2021"
